TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Los Angeles Lakers,23,15,8,0.652,48.2,99.8,37.3,80.4,46.5,5.4,15.4,34.9,19.7,31.6,62.3,13.2,30.1,43.3,21.8,12.1,6.6,6.1,3.7,25.3,2.1,2.3
Portland Trail Blazers,16,10,6,0.625,48,92.5,32.4,73.1,44.4,5.4,14.6,37.2,22.2,28.3,78.5,9.8,28.4,38.2,19.3,12.7,7.4,3.8,5.4,25.2,1.6,4.8
Miami Heat,10,6,4,0.6,48.5,83.2,30.9,73.7,41.9,4.7,14.9,31.5,16.7,24.2,69,10.5,32.9,43.4,19.1,13.9,7.2,5.1,3.3,26,2,2.5
Indiana Pacers,23,13,10,0.565,48.2,98.1,35,78.9,44.3,7.1,18.8,37.9,21,25.4,82.7,10.1,30.4,40.5,20.3,11.6,5.4,4.7,4.4,23.4,1.7,2.7
New York Knicks,16,9,7,0.563,48.3,84.4,31.2,72.4,43.1,4.5,11.4,39.3,17.6,23,76.4,8.1,30.4,38.4,14.6,11.8,6.5,4.1,4.3,22.9,2,-1.1
Philadelphia 76ers,10,5,5,0.5,48.5,94.2,34.2,80,42.8,3.9,12.3,31.7,21.9,29.5,74.2,13.5,28.9,42.4,19.1,12.7,6.5,4.5,6.1,22.6,1.9,-1.3
Phoenix Suns,9,4,5,0.444,48,87.3,33.4,82.2,40.7,4.7,16.8,27.8,15.8,22.6,70,13.9,31,44.9,21,15.2,8.1,6.2,6.9,27.4,1.9,-3.7
Utah Jazz,10,4,6,0.4,48,88.3,33.1,74.6,44.4,4.6,12.3,37.4,17.5,23.7,73.8,10.3,30,40.3,23.6,14.9,6.9,5.4,3.8,25,2.6,-4.9
Sacramento Kings,5,2,3,0.4,48,96.4,33.6,81,41.5,6.6,17.4,37.9,22.6,30,75.3,11.8,29.4,41.2,16.6,12,6.8,3.6,6.4,22,1.2,-8
Milwaukee Bucks,5,2,3,0.4,48,96,37.8,82.6,45.8,3.6,11.6,31,16.8,22,76.4,11.4,31.4,42.8,20.6,11.8,6.6,5.6,3.4,25,2.2,1.8
Seattle SuperSonics,5,2,3,0.4,48,93.2,34.8,79.6,43.7,7,16.4,42.7,16.6,23.2,71.6,12.4,28.6,41,19.8,14.6,8.2,3.4,5.8,21.8,2,-1.2
San Antonio Spurs,4,1,3,0.25,48,81.8,28.3,76,37.2,3,11,27.3,22.3,30.5,73,12.3,34,46.3,15,16.3,8.5,7.5,9.8,20.8,2.5,-1.3
Minnesota Timberwolves,4,1,3,0.25,48,85.3,34.3,76.5,44.8,3,9.8,30.8,13.8,17.5,78.6,10.3,24.8,35,23.5,11.8,6,4,3.8,23.8,2.3,-2
Charlotte Hornets,4,1,3,0.25,49.3,91.3,32.3,75,43,4.5,15,30,22.3,27,82.4,13.5,30.5,44,22.8,15.5,8.3,5.8,6,22,1,-2.8
Detroit Pistons,3,0,3,0,48,79.7,28,69.3,40.4,4.3,11.7,37.1,19.3,27,71.6,6,28.3,34.3,14.7,17,6,1.7,7.3,24.7,5.7,-10.3
Toronto Raptors,3,0,3,0,48,83.7,27.7,74,37.4,4.3,15.7,27.7,24,31,77.4,13,29.7,42.7,19,14.3,9,4.3,5,26,1.3,-4
