TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
San Antonio Spurs,21,15,6,0.714,49.4,100.3,38,82.2,46.3,7.9,20.8,37.8,16.4,21.5,76.3,9.7,32.9,42.6,21.9,12.9,7.9,5,4.7,19.1,21.1,7
Miami Heat,23,16,7,0.696,48.4,97.1,35.8,76.6,46.8,7.7,20.2,38.1,17.8,23.2,76.6,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21,6.4
Indiana Pacers,19,11,8,0.579,48.3,91.8,32.2,74.4,43.3,6.3,19.2,32.7,21.1,28.5,74,12.7,32.9,45.6,17.5,16.4,5.4,4.5,4.7,22.4,24.8,0.2
Memphis Grizzlies,15,8,7,0.533,49,94.7,34.1,81.5,41.8,4.8,14.8,32.4,21.7,29.1,74.8,11.7,30,41.7,19.3,10.7,7.3,4.6,6.5,22.1,25.3,0.6
Golden State Warriors,12,6,6,0.5,49.3,102.7,39,84.4,46.2,8.7,22.3,38.8,16,21.8,73.6,11.5,34.6,46.1,21.7,16.5,6.4,4.9,3.5,23.8,21.9,0.2
New York Knicks,12,6,6,0.5,48.4,88.6,33.3,81,41,8,23.3,34.3,14.1,18,78.2,10.7,28.8,39.5,15.1,11.6,8.8,4.3,4.2,23.8,18.9,2.7
Oklahoma City Thunder,11,5,6,0.455,48.5,98.5,34.8,81.6,42.7,8.6,24.7,34.9,20.2,24.1,83.8,9.8,33.1,42.9,18.1,13.6,6,7,4.9,24.9,22.1,1.4
Brooklyn Nets,7,3,4,0.429,50.1,99.4,37,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,2
Chicago Bulls,12,5,7,0.417,49.3,91.9,35,79.9,43.8,5.4,17,31.9,16.5,22.9,72,11.8,29,40.8,19.5,14.3,6.4,4.6,5.8,22.4,21.2,-6.7
Atlanta Hawks,6,2,4,0.333,48,89.3,32.7,77.3,42.2,6.2,18.7,33,17.8,26.2,68.2,8.3,30,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,-5.2
Houston Rockets,6,2,4,0.333,48,100,34.3,81,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18,15.8,5.8,5.5,7.3,23.2,24.7,-5.8
Denver Nuggets,6,2,4,0.333,48,103,37.2,84.8,43.8,7,22.5,31.1,21.7,29.7,73,11.8,26.8,38.7,21.2,14.5,9,2.8,6.7,23.2,23.5,-4.2
Boston Celtics,6,2,4,0.333,48.8,82.3,28.5,69,41.3,6.8,20.7,33.1,18.5,21.5,86,5.2,33.8,39,16.8,17.3,5.5,3,4.3,18.8,21.3,-5.3
Los Angeles Clippers,6,2,4,0.333,48,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18,13.3,5.2,5.7,4.2,27.8,23.8,-5.5
Milwaukee Bucks,4,0,4,0,48,85.3,33.3,76.8,43.3,6,23,26.1,12.8,20.3,63,8.8,26,34.8,19.8,16.3,10,2.5,4.3,19.8,20.3,-14.8
Los Angeles Lakers,4,0,4,0,48,85.3,34.5,78,44.2,5,18.5,27,11.3,18.5,60.8,8.5,31.5,40,18.5,16.5,5.8,5.3,5,17.5,18,-18.8
