TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Los Angeles Lakers,21,14,7,0.667,48.2,102.4,36.8,78.6,46.8,7,19,36.7,22,29.1,75.3,8.8,30.8,39.6,20.8,13.3,7.2,5.3,4.4,23.3,25,2.2
Boston Celtics,26,16,10,0.615,48,94,33.6,75.1,44.7,6,16.8,35.9,20.8,26.6,78.3,11.1,28.9,40,21.5,12.8,7.6,4.3,5,24.3,22.8,5.2
Detroit Pistons,17,10,7,0.588,48,91.4,33.9,74.5,45.5,4.5,13.3,34.1,19.1,23.8,80.2,10.6,25.6,36.2,20.5,12.9,7.4,5.8,3.9,23.3,21.8,2.3
New Orleans Hornets,12,7,5,0.583,48,96.6,37.6,81,46.4,5.8,14,41.1,15.7,20.3,77.4,10.3,31.8,42.1,19.3,8.8,7.3,5.1,4,20.7,20.7,3.7
Cleveland Cavaliers,13,7,6,0.538,48,89.9,31.1,74.1,42,6.7,19.4,34.5,21.1,29.2,72.1,11.8,29.2,40.9,20.2,13.8,6,4.8,4.2,22.1,23.5,2.2
San Antonio Spurs,17,9,8,0.529,48.6,94.1,35.5,79.7,44.6,7.5,20.1,37.5,15.5,20.8,74.5,9,32.8,41.8,20.4,12.8,5.3,4.1,5.3,22.5,20.3,-0.9
Utah Jazz,12,6,6,0.5,48.4,98.9,36.4,81.8,44.5,5.8,16.7,35,20.3,27,75,14.5,29.8,44.3,21.4,12.9,6.5,5.8,6.5,25.5,22.8,-0.3
Orlando Magic,10,5,5,0.5,48,97.1,35.4,75.4,46.9,9,25.3,35.6,17.3,24.3,71.2,11.7,31.2,42.9,17.4,14.5,4.8,4.9,3.4,20.5,22,1.6
Atlanta Hawks,7,3,4,0.429,48,87.1,29.3,71.3,41.1,4,12.4,32.2,24.6,31.4,78.2,11.6,26.7,38.3,17.4,15.9,4.3,5.7,5.7,20.1,25,-12
Houston Rockets,6,2,4,0.333,48,88,32.2,78.7,40.9,5.8,20,29.2,17.8,26.2,68.2,13,29,42,15.5,10.8,6.8,5.5,6.2,21.2,21.8,-2.5
Philadelphia 76ers,6,2,4,0.333,48,85.8,31.2,74.7,41.7,1.8,7.8,23.4,21.7,30,72.2,13.5,24.7,38.2,15.8,14.8,8.8,3.7,6.8,19.2,23.7,-7
Washington Wizards,6,2,4,0.333,48,92.2,32,75.2,42.6,6,19.7,30.5,22.2,29,76.4,9.7,27.7,37.3,15.7,12.3,7.2,4.8,4.8,22.8,23.2,-3.3
Phoenix Suns,5,1,4,0.2,50,100.4,38,82.4,46.1,5,14.8,33.8,19.4,30.4,63.8,9.4,32.2,41.6,18.8,12.4,5.2,7,5,22.6,27.6,-2
Toronto Raptors,5,1,4,0.2,48,99.4,37.2,85.6,43.5,8.4,24,35,16.6,19.2,86.5,9.8,29.4,39.2,24,10,7.2,2.4,5.2,22.8,18,-4.6
Dallas Mavericks,5,1,4,0.2,48,94,31.6,78.8,40.1,7.2,20.8,34.6,23.6,30,78.7,14.4,30.8,45.2,19.4,11.6,4,4,5.6,20.6,22.4,-8.8
Denver Nuggets,4,0,4,0,48,101.5,37.8,88.5,42.7,4.5,18,25,21.5,29,74.1,16.5,32.3,48.8,18.5,14.5,6.3,4.8,6.3,25.5,22.5,-13.3
