TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
San Antonio Spurs,17,15,2,0.882,48,88.4,31.6,70.1,45.1,4.1,11.8,35,21.1,28.5,74.2,9.8,30.4,40.2,21.3,14.9,7.3,5.8,4.3,21.8,0.2,7.2
Indiana Pacers,13,9,4,0.692,48.4,93.6,32.8,74.2,44.1,6.5,18,36.3,21.5,28.2,76.3,11.6,29.8,41.5,20.7,15.8,6.6,5.2,4.5,25.9,0.2,3.6
New York Knicks,20,12,8,0.6,48,85,31.9,74.3,42.9,3.2,11.4,28.1,18.1,23.9,75.7,10.2,29.1,39.3,15,13.4,7.6,3.9,4.6,25.5,0.3,2
Portland Trail Blazers,13,7,6,0.538,48,86.2,29.4,69.4,42.4,3.8,11.1,34,23.6,31.4,75.2,9.8,28.9,38.8,18.2,14.1,7.7,4.2,5.5,23.9,0.3,-0.5
Utah Jazz,11,5,6,0.455,48.9,89.2,32.4,75,43.2,2.9,9.6,30.2,21.5,28.3,76.2,11.2,31.5,42.6,22,15.5,7.7,4.7,4.1,27.1,0.5,1.8
Miami Heat,5,2,3,0.4,48,79,27.2,68,40,5.6,18.6,30.1,19,27,70.4,8.2,27.4,35.6,16.4,12.6,7.2,4.4,3,20.6,0.2,-4
Sacramento Kings,5,2,3,0.4,50,90.6,32.4,79.6,40.7,6.2,22.2,27.9,19.6,26.4,74.2,12.8,28.6,41.4,18.2,17.8,10.6,4.4,4,23.8,0.4,-4.8
Detroit Pistons,5,2,3,0.4,48,79.2,32.2,75,42.9,3.4,9.4,36.2,11.4,14.4,79.2,11.2,24,35.2,17.8,11.8,7.2,1.8,4.6,22.6,0.2,-3
Philadelphia 76ers,8,3,5,0.375,48,89.3,34.6,82.1,42.2,2.5,10.5,23.8,17.5,24.5,71.4,16.9,27.5,44.4,19,13.3,10.4,5.1,4.9,25.5,0,0.5
Los Angeles Lakers,8,3,5,0.375,48,94,35.3,79.6,44.3,4.8,15.6,30.4,18.8,29.3,64.1,12.1,28.3,40.4,19.5,14,6.6,6.4,4.1,25.3,0.3,-2.9
Atlanta Hawks,9,3,6,0.333,48,79.7,28.6,74.6,38.3,4.8,15.3,31.2,17.8,23.1,76.9,12,26.9,38.9,13.9,14.3,8.1,4,2.9,19.4,0.4,-2.8
Orlando Magic,4,1,3,0.25,48,86.3,27.8,73.8,37.6,6.8,21.8,31,24,32.3,74.4,14.5,25,39.5,19.8,19,9,3.8,6.8,23.5,0,-6.3
Minnesota Timberwolves,4,1,3,0.25,48,80.5,32,80.8,39.6,2.5,8,31.3,14,18.3,76.7,14.3,29.3,43.5,18.8,14.5,6.5,6,5.8,24,0.3,-6.3
Houston Rockets,4,1,3,0.25,48,97,33.8,81.3,41.5,7.8,21.3,36.5,21.8,28.5,76.3,13.3,32.5,45.8,20.5,13.3,7.5,4.5,8.5,26,0,-2.3
Milwaukee Bucks,3,0,3,0,49.7,95.3,34,75,45.3,4.7,14,33.3,22.7,29.3,77.3,11,27,38,20,16.3,8.3,5,5,30,1,-10.3
Phoenix Suns,3,0,3,0,48,92.3,34.7,80.7,43,7,18.7,37.5,16,21.7,73.8,10.3,22.7,33,22.3,14,10.3,2.3,5.7,29,0,-10.3
