TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Atlanta Hawks,6,2,4,0.333,48,105.5,37.5,84.5,44.4,8.3,27.3,30.5,22.2,29,76.4,11.3,33,44.3,22.3,16,6,3.3,7.5,21.3,24.8,-1.2,2017,0
Chicago Bulls,6,2,4,0.333,48,96.5,36.3,82.5,44,7,23.5,29.8,16.8,19.8,84.9,12.5,34.2,46.7,20,15.3,7.2,5.2,3.7,18.3,17.2,-6.8,2017,0
Memphis Grizzlies,6,2,4,0.333,48.8,96.3,34.7,77.2,44.9,9.3,24.2,38.6,17.7,20.3,86.9,7.7,27.8,35.5,18.8,11.3,5.2,2.5,3.8,22.2,19.2,-8.3,2017,0
Oklahoma City Thunder,5,1,4,0.2,48,104.2,38.6,87.4,44.2,8.4,27,31.1,18.6,27,68.9,12.2,31.4,43.6,19.8,12.8,8.4,8,5,22.2,22.6,-8.6,2017,0
Portland Trail Blazers,4,0,4,0,48,101.5,35.5,89.5,39.7,11,34,32.4,19.5,24.3,80.4,10,34,44,15.8,15.3,7.3,4.8,10.3,21.8,18.8,-18,2017,0
Indiana Pacers,4,0,4,0,48,108.8,40.5,87,46.6,11.3,28.8,39.1,16.5,21.5,76.7,11.8,30.3,42,22.5,13.3,8,3.8,6.3,22.8,18.3,-4,2017,0
Cleveland Cavaliers,21,16,5,0.762,48,104.8,38.3,81.8,46.9,12.3,30.2,40.6,15.8,21.8,72.5,10.7,32.6,43.3,21.2,12.5,7.8,4.2,4.5,19.6,21,8.6,2016,1
Golden State Warriors,24,15,9,0.625,48.2,107.7,38.9,85.6,45.5,12.8,32.4,39.3,17.1,23.3,73.5,10.5,32.7,43.2,24.3,14,8,5.5,5.2,22,22.1,4.4,2016,0
Oklahoma City Thunder,18,11,7,0.611,48,106.4,38.2,84.5,45.2,8.3,24.9,33.3,21.7,27.6,78.6,12.5,34.4,46.9,20.5,13.9,7.7,5.4,4,20.3,21.2,5.3,2016,0
San Antonio Spurs,10,6,4,0.6,48,102,38.7,82.5,46.9,8.2,19.1,42.9,16.4,20.5,80,7.9,31.6,39.5,21.3,11.6,9.1,7,4.7,18.2,19.9,9.1,2016,0
Toronto Raptors,20,10,10,0.5,48.8,93.4,34.3,81.4,42.1,6.9,23,29.8,18.1,24.5,73.7,10.8,29.6,40.4,15.7,13,7.5,3.7,4.9,21.9,20.5,-4.3,2016,0
Miami Heat,14,7,7,0.5,49.1,96.9,36.9,80.5,45.8,6.9,19.1,35.8,16.3,21.3,76.5,9.1,35.1,44.2,16.4,13.1,5.4,5.9,3.4,21.2,19.6,3.1,2016,0
Portland Trail Blazers,11,5,6,0.455,48.5,105,37.1,89.1,41.6,11.9,31.3,38.1,18.9,25.5,74,12.9,34.7,47.6,21.5,13.1,6.2,3.9,5.9,23.5,21.8,-2.5,2016,0
Indiana Pacers,7,3,4,0.429,48,93.7,33,74.9,44.1,8.1,21.3,38.3,19.6,23.9,82,9.1,30.1,39.3,18.1,14.4,7.6,5.6,4.6,22.3,21.7,1.4,2016,0
Charlotte Hornets,7,3,4,0.429,48,90.3,31.9,80.4,39.6,5.7,18.6,30.8,20.9,24.9,83.9,7.1,29.7,36.9,13.6,9.4,5.7,3.3,7.1,17.4,21.6,-8.9,2016,0
Atlanta Hawks,10,4,6,0.4,48.5,100.1,36.6,84.8,43.2,10.6,31.8,33.3,16.3,20.5,79.5,8.9,35.4,44.3,22.6,14.4,7.5,7.6,5.5,20.2,20.9,-1,2016,0
LA Clippers,6,2,4,0.333,48,98.3,37.2,85,43.7,5.7,19.5,29.1,18.3,29.3,62.5,11.3,34.8,46.2,18.2,9.7,8.5,4.7,3.5,20.5,23.8,1,2016,0
Boston Celtics,6,2,4,0.333,48.8,93.8,34.3,89.5,38.4,8.7,31.5,27.5,16.5,21,78.6,10.7,35.3,46,21,14.7,6.3,6.5,8.7,22,20,-6.7,2016,0
Houston Rockets,5,1,4,0.2,48,91.2,33,85.6,38.6,7.6,28.4,26.8,17.6,27.4,64.2,14.4,33,47.4,18,19,8.4,4.2,5.4,25.6,22.2,-18.8,2016,0
Dallas Mavericks,5,1,4,0.2,48,93.8,35.4,81.2,43.6,6.2,21.4,29,16.8,24.2,69.4,9.2,25.8,35,20.6,11.8,6,2.4,4.6,24,22.4,-18.2,2016,0
Memphis Grizzlies,4,0,4,0,48,81,32,81.3,39.4,4.8,16,29.7,12.3,17.5,70,13.8,27.3,41,16.5,15.5,7.8,4,9.3,21.5,17.5,-22,2016,0
Detroit Pistons,4,0,4,0,48,95,36,75.3,47.8,8.8,23.3,37.6,14.3,22,64.8,7,30.8,37.8,21.8,10.5,5.3,3.3,2.5,19,20.3,-8.5,2016,0
Golden State Warriors,21,16,5,0.762,48.7,103.3,38.2,84.2,45.3,11.4,30.5,37.4,15.5,22.1,69.9,11.6,34,45.6,24.5,14.6,8,5.8,4.7,22.4,20.9,7.8,2015,1
Cleveland Cavaliers,20,14,6,0.7,48.8,99,34.7,82.7,42,9.8,28.7,34,19.9,26.9,73.8,12.3,34.9,47.1,18,13,6.3,6.4,4.7,20.9,22.5,4,2015,0
Washington Wizards,10,6,4,0.6,48.5,101.1,37.3,84.5,44.1,9.4,23.3,40.3,17.1,23.7,72.2,11.6,35.6,47.2,23.1,14.5,7.1,5.3,4.8,20,21.9,3.9,2015,0
Memphis Grizzlies,11,6,5,0.545,48,94.7,35.7,84.1,42.5,4.4,14,31.2,18.9,22.7,83.2,10.5,32.9,43.5,20.4,11,8.6,4.1,5.6,19.4,20.4,-1.3,2015,0
Houston Rockets,17,9,8,0.529,48,108.2,37.4,83.4,44.8,9.5,27.5,34.4,24,36.7,65.4,10.9,34.8,45.7,21.9,15.5,8.4,5.5,5.4,23.4,27.2,-2.5,2015,0
Chicago Bulls,12,6,6,0.5,48.8,96,35.1,83.8,41.9,9.2,24.6,37.3,16.7,21.5,77.5,11.7,33.8,45.4,22.2,14,7.2,6.6,7.1,18.8,20.3,3.4,2015,0
Atlanta Hawks,16,8,8,0.5,48.6,98,36.9,85.6,43.1,9.1,28.6,31.7,15.2,19.4,78.1,9.8,33.9,43.7,23.8,12.7,8.5,4.9,4.3,19.7,19.2,-0.2,2015,0
Los Angeles Clippers,14,7,7,0.5,48.4,107.8,39.5,84.8,46.6,8.4,25.4,32.9,20.4,30.6,66.7,9.6,35,44.6,22.5,13.1,8.6,5.9,4.9,24.8,25.1,1.4,2015,0
San Antonio Spurs,7,3,4,0.429,48.7,103.4,38.3,85.3,44.9,9.6,26.1,36.6,17.3,25.4,68,11.7,34.7,46.4,24.1,12.1,6.1,4.7,6.1,24.9,20.9,0.4,2015,0
Brooklyn Nets,6,2,4,0.333,48.8,96.3,36.2,83.2,43.5,8.5,24,35.4,15.5,20.8,74.4,9.5,35,44.5,21.7,14.3,7.5,3.3,4.7,19,18.5,-5.5,2015,0
Milwaukee Bucks,6,2,4,0.333,49.7,88.5,34.2,88.2,38.8,5.5,18.2,30.3,14.7,20.8,70.4,12.2,31.5,43.7,20.3,13.2,10.8,6.7,7,21.2,18.8,-12.3,2015,0
Dallas Mavericks,5,1,4,0.2,48,110,41.6,92,45.2,7.6,24.4,31.1,19.2,25.2,76.2,13.6,33.8,47.4,21.2,14.2,7,4.6,5.2,27.2,24.6,-4.2,2015,0
Portland Trail Blazers,5,1,4,0.2,48,93.8,33.4,83.6,40,9.2,26.2,35.1,17.8,21.6,82.4,10,34.2,44.2,16.6,11.6,3.4,5.2,6.2,20.6,20,-6.8,2015,0
Boston Celtics,4,0,4,0,48,94.8,34.8,82.8,42,5.5,21.5,25.6,19.8,25.5,77.5,10,30.8,40.8,20,13.5,5.3,3.8,7.8,26.8,23.3,-9.3,2015,0
New Orleans Pelicans,4,0,4,0,49.3,100.8,38,84.3,45.1,6.8,21.3,31.8,18,22.3,80.9,10.8,31.3,42,23.3,13.5,7.5,5.8,6.3,23.8,19.8,-8,2015,0
Toronto Raptors,4,0,4,0,49.3,96.3,36.8,88.3,41.6,7.5,25,30,15.3,21.3,71.8,8.8,29.8,38.5,19.5,12,7.5,2.3,6.5,25,20.5,-14,2015,0
San Antonio Spurs,23,16,7,0.696,48.2,106.3,39.7,80.9,49.1,8.8,21.6,40.9,18,23.5,76.7,9.4,32.6,42,22.2,12.6,8.1,3.5,3.7,19.8,21.6,9.3,2014,1
Miami Heat,20,13,7,0.65,48,97.3,35.4,72.2,49.1,9.3,23.5,39.6,17.2,22,78,6,28.1,34,18.3,12.2,7.4,3.9,2.8,20.7,19.6,1.8,2014,0
Washington Wizards,11,6,5,0.545,48.5,90.4,34.5,79.7,43.2,5.6,16.8,33.5,15.8,22.7,69.6,11.7,33.2,44.9,19.5,12.8,7.5,5.6,4.3,22.3,21.2,0.9,2014,0
Oklahoma City Thunder,19,10,9,0.526,49.3,102.5,36.6,81.4,45,7.5,23.3,32.3,21.8,26.6,82,11.2,34.1,45.2,19.3,15.1,6.3,6.2,3.1,23,22.2,-1.1,2014,0
Indiana Pacers,19,10,9,0.526,48,91.6,33.6,74.5,45.1,7.3,19.3,38,17,23.4,72.7,8.2,31.3,39.5,18.8,13.6,7.1,4.2,4.3,20.7,21.6,-1,2014,0
Los Angeles Clippers,13,6,7,0.462,48,108.8,39.4,85.4,46.1,9.2,25.8,35.5,20.8,28.5,73,11.4,28.4,39.8,23.8,12.6,9.4,4.4,4.8,24.3,24.1,2,2014,0
Portland Trail Blazers,11,5,6,0.455,49.4,104.3,38.4,87.7,43.7,7.9,22.8,34.7,19.6,24.6,79.7,11.7,32.5,44.2,17.5,13.8,5.9,6,4.3,22.5,23.3,-6.3,2014,0
Golden State Warriors,7,3,4,0.429,48,106.4,38.3,83.1,46,9.6,26.3,36.4,20.3,27.9,72.8,13.1,29.6,42.7,24.4,17.3,7,4.6,5.1,25.3,23,-4.4,2014,0
Memphis Grizzlies,7,3,4,0.429,50.9,96.7,36.7,88.1,41.7,4.4,15.3,29,18.9,25.9,72.9,12.9,29.9,42.7,21.7,11.1,9,2.4,7.6,20.9,23,-5.4,2014,0
Dallas Mavericks,7,3,4,0.429,48,101.1,39.1,86.7,45.1,8.4,22.4,37.6,14.4,18.9,76.5,11.7,29,40.7,19.1,11.4,6.6,4.1,3.6,20.3,19.6,-2,2014,0
Toronto Raptors,7,3,4,0.429,48,96.1,32.7,74.1,44.1,6.6,21,31.3,24.1,29,83.3,10.1,31.6,41.7,17.7,15.3,5.6,3,3.6,25.9,24.1,-1.6,2014,0
Atlanta Hawks,7,3,4,0.429,48,92.4,30.3,78.7,38.5,11.3,32.9,34.3,20.6,24.9,82.8,9.1,30.1,39.3,16.9,13.6,6.6,4.6,6.3,20.9,22.6,-1,2014,0
